milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	203.0625	182.1875	20.875	10.280086180363188
after-backbone-read_typescript	2	2	203.32421875	182.58984375	20.734375	10.197690726402952
after-backbone-core_patch	3	3	208.80078125	143.0625	65.73828125	31.483733373243783
after-backbone-core_verify	4	4	241.21484375	223.91015625	17.3046875	7.17397289112727
after-backbone-backbone_finish	5	5	241.57421875	208.2265625	33.34765625	13.8043109163527
after-early_1-early_inspect	6	6	530.9921875	337.7646484375	193.2275390625	36.38990245266085
after-late_2-late_inspect	7	11	531.42578125	382.3779296875	149.0478515625	28.046785989929802
after-early_3-early_inspect	8	7	554.30859375	338.830078125	215.478515625	38.87338534069047
after-late_1-late_inspect	9	9	564.24609375	360.4736328125	203.7724609375	36.11411105803513
after-early_2-early_inspect	10	10	565.515625	381.1455078125	184.3701171875	32.60212610173238
after-late_3-late_inspect	11	8	566.3125	339.37109375	226.94140625	40.07352941176471
after-early_1-early_1	12	12	568.32421875	402.953125	165.37109375	29.098019808785423
after-late_2-late_2	13	17	569.62109375	411.265625	158.35546875	27.800141267152647
after-early_3-early_3	14	13	569.98828125	409.25390625	160.734375	28.199592919262322
after-early_2-early_2	15	16	570.4609375	410.94921875	159.51171875	27.961900327312065
after-late_1-late_1	16	15	570.515625	410.40625	160.109375	28.06397721359516
after-late_3-late_3	17	14	573.48828125	409.5859375	163.90234375	28.579894151062916
terminal-retained	18	18	579.48046875	411.57421875	167.90625	28.975307892980645
