milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-late_2-read_repo	1	5	1461.44921875	283.47265625	1177.9765625	80.60331808911852
after-late_1-read_repo	2	2	1463.1484375	281.49609375	1181.65234375	80.76093398760165
after-early_2-read_repo	3	4	1463.3125	282.4990234375	1180.8134765625	80.69455270576175
after-backbone-read_repo	4	3	1463.52734375	281.9599609375	1181.5673828125	80.73421981887722
after-early_3-read_repo	5	7	1463.75390625	284.3828125	1179.37109375	80.57167866225805
after-late_3-read_repo	6	1	1463.96875	280.845703125	1183.123046875	80.81614084146264
after-early_1-read_repo	7	6	1464.1953125	283.9248046875	1180.2705078125	80.60881616929095
after-late_2-read_typescript	8	12	1464.4375	288.2158203125	1176.2216796875	80.31900847168282
after-late_1-read_typescript	9	9	1464.5390625	286.6357421875	1177.9033203125	80.42826241191501
after-early_2-read_typescript	10	11	1464.8125	287.7578125	1177.0546875	80.35531424670394
after-backbone-read_typescript	11	10	1465.08984375	287.2294921875	1177.8603515625	80.39509362427111
after-early_3-read_typescript	12	14	1465.2421875	289.42578125	1175.81640625	80.24723941754509
after-late_3-read_typescript	13	8	1465.50390625	285.998046875	1179.505859375	80.48466157918165
after-early_1-read_typescript	14	13	1465.63671875	288.8349609375	1176.8017578125	80.29286812738704
after-late_2-core_patch	15	19	1465.953125	395.7783203125	1070.1748046875	73.0019798339391
after-late_1-core_patch	16	16	1466.1015625	324.7265625	1141.375	77.85101859203564
after-early_2-early_inspect	17	18	1472.30078125	395.4541015625	1076.8466796875	73.14039993738541
after-backbone-core_patch	18	17	1494.5390625	348.7109375	1145.828125	76.66765986586583
after-early_3-early_inspect	19	21	1511.27734375	424.58203125	1086.6953125	71.90575025782722
after-late_3-core_patch	20	15	1534.0859375	290.0283203125	1244.0576171875	81.09438896329758
after-early_1-early_inspect	21	20	1553.453125	424.00390625	1129.44921875	72.70571609619698
after-early_2-early_2	22	25	1568.72265625	428.5244140625	1140.1982421875	72.68322655026358
after-late_2-core_verify	23	26	1587.51953125	428.8037109375	1158.7158203125	72.98907493756228
after-late_1-core_verify	24	23	1594.12890625	426.9814453125	1167.1474609375	73.21537526617446
after-early_3-early_3	25	28	1596.39453125	429.62890625	1166.765625	73.08754835726013
after-backbone-core_verify	26	24	1596.45703125	427.3330078125	1169.1240234375	73.2324140614104
after-early_1-early_1	27	27	1596.546875	429.3466796875	1167.2001953125	73.10779367580422
after-late_3-core_verify	28	22	1596.6640625	426.6728515625	1169.9912109375	73.277230847519
after-late_2-late_inspect	29	32	1596.94140625	431.01953125	1165.921875	73.00968403955804
after-late_1-late_inspect	30	30	1597.0234375	430.203125	1166.8203125	73.06219089223605
after-late_3-late_inspect	31	29	1597.17578125	429.85546875	1167.3203125	73.08652724413454
after-late_2-late_2	32	35	1597.390625	431.8720703125	1165.5185546875	72.96390353408391
after-backbone-backbone_finish	33	31	1597.52734375	430.734375	1166.79296875	73.0374333381422
after-late_1-late_1	34	34	1597.6484375	431.6259765625	1166.0224609375	72.98366984679632
after-late_3-late_3	35	33	1597.71875	431.3720703125	1166.3466796875	73.00075058188433
terminal-retained	36	36	1597.74609375	432.1064453125	1165.6396484375	72.9552494602993
