milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	208.5390625	173.08203125	35.45703125	17.002584947364475
after-backbone-read_typescript	2	2	213.09375	182.09765625	30.99609375	14.545754509458863
after-backbone-core_patch	3	3	328.703125	125.140625	203.5625	61.92898226933499
after-early_1-early_inspect	4	10	328.87890625	350.3232421875	-21.4443359375	-6.520435190574038
after-early_1-early_1	5	11	474.6171875	352.478515625	122.138671875	25.734144293921084
after-early_2-early_2	6	12	490.69140625	368.5869140625	122.1044921875	24.884171728348868
after-early_3-early_3	7	13	492.8125	383.9296875	108.8828125	22.09416613823716
after-backbone-core_verify	8	4	494.98828125	206.29296875	288.6953125	58.3236661221462
after-late_1-late_inspect	9	6	596.48828125	219.8154296875	376.6728515625	63.14840767251033
after-late_2-late_2	10	8	789.19921875	299.6689453125	489.5302734375	62.028732645333726
after-backbone-backbone_finish	11	5	790.00390625	204.697265625	585.306640625	74.08908183800516
after-late_1-late_1	12	7	791.46484375	264.439453125	527.025390625	66.58860400266515
after-late_3-late_3	13	9	791.515625	334.951171875	456.564453125	57.68230451862526
terminal-retained	14	14	800.94140625	384.689453125	416.251953125	51.97033763978911
