milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	67.2109375	80.140625	-12.9296875	-19.237475299314195
after-backbone-trace_cpp_parser	2	2	142.890625	198.10546875	-55.21484375	-38.64133406232914
after-backbone-core_patch	3	3	143.00390625	88.21875	54.78515625	38.31025157748095
after-backbone-core_verify	4	4	143.828125	89.609375	54.21875	37.696903856599675
after-backbone-backbone_finish	5	5	153.3359375	104.625	48.7109375	31.767463188464866
after-early_3-early_3_inspect	6	9	281.08984375	153.294921875	127.794921875	45.464083714337335
after-early_2-early_2_inspect	7	8	308.265625	149.95703125	158.30859375	51.35460489634548
after-early_1-early_1_inspect	8	6	312.96875	144.7138671875	168.2548828125	53.760921118322514
after-late_2-late_2_inspect	9	7	314.625	147.37109375	167.25390625	53.159763607469216
after-late_3-late_3_inspect	10	10	316.25390625	156.7021484375	159.5517578125	50.4505255616902
after-late_1-late_1_inspect	11	11	317.73046875	158.099609375	159.630859375	50.240966817885635
after-early_3-early_3_finish	12	15	321.50390625	165.939453125	155.564453125	48.38648927768665
after-early_2-early_2_finish	13	14	331.296875	164.771484375	166.525390625	50.264703108050746
after-early_1-early_1_finish	14	12	342.3515625	161.609375	180.7421875	52.79432235686087
after-late_2-late_2_finish	15	13	342.49609375	164.3349609375	178.1611328125	52.01844227237993
after-late_3-late_3_finish	16	16	342.64453125	167.892578125	174.751953125	51.000946224791086
after-late_1-late_1_finish	17	17	342.87109375	168.5087890625	174.3623046875	50.85360296211906
terminal-retained	18	18	348.765625	169.1689453125	179.5966796875	51.4949487030151
