milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-early_2-read_repo	1	6	459.01953125	354.6474609375	104.3720703125	22.738045596507504
after-early_1-read_repo	2	1	503.75	123.5029296875	380.2470703125	75.48328939205955
after-backbone-read_repo	3	5	531.421875	325.16796875	206.25390625	38.81170797683103
after-late_2-read_repo	4	3	569.23046875	241.5849609375	327.6455078125	57.55937635102214
after-late_3-read_repo	5	2	630.546875	237.640625	392.90625	62.31198116714162
after-late_1-read_repo	6	7	686.59375	359.97265625	326.62109375	47.57123025806745
after-early_3-read_repo	7	4	749.03515625	268.6435546875	480.3916015625	64.13472018690712
after-early_2-trace_cpp_parser	8	13	822.48828125	420.12109375	402.3671875	48.92071980508841
after-early_1-trace_cpp_parser	9	8	895.70703125	414.306640625	481.400390625	53.7452954849739
after-backbone-trace_cpp_parser	10	12	949.55859375	419.84765625	529.7109375	55.78496587641462
after-late_2-trace_cpp_parser	11	10	996.9765625	417.5869140625	579.3896484375	58.11467091910699
after-early_2-early_2_inspect	12	20	1000.2265625	426.25	573.9765625	57.3846550390927
after-late_3-trace_cpp_parser	13	9	1000.33984375	417.2705078125	583.0693359375	58.28712507858658
after-early_1-early_1_inspect	14	15	1000.46484375	420.7080078125	579.7568359375	57.94874648112791
after-late_1-trace_cpp_parser	15	14	1001.203125	420.4306640625	580.7724609375	58.007455873402314
after-early_3-trace_cpp_parser	16	11	1001.3515625	419.5166015625	581.8349609375	58.104963603879135
after-backbone-core_patch	17	19	1002.08203125	425.3056640625	576.7763671875	57.557799581340404
after-late_2-core_patch	18	17	1002.16796875	423.7783203125	578.3896484375	57.7138430356064
after-early_2-early_2_finish	19	27	1002.3203125	441.189453125	561.130859375	55.98318744787485
after-late_3-core_patch	20	16	1003.17578125	421.4853515625	581.6904296875	57.984895624442686
after-early_1-early_1_finish	21	22	1003.8984375	429.0009765625	574.8974609375	57.2664962373248
after-late_1-core_patch	22	21	1003.98828125	428.4287109375	575.5595703125	57.327319557545884
after-early_3-early_3_inspect	23	18	1004.78125	424.4736328125	580.3076171875	57.754622430255345
after-backbone-core_verify	24	26	1005.0546875	431.662109375	573.392578125	57.05088342518675
after-late_2-core_verify	25	24	1005.7265625	431.1142578125	574.6123046875	57.13404876760426
after-late_3-core_verify	26	23	1006.40234375	430.9189453125	575.4833984375	57.18223949013931
after-late_1-core_verify	27	28	1010.6015625	443.794921875	566.806640625	56.08606414805538
after-early_3-early_3_finish	28	25	1015.828125	431.333984375	584.494140625	57.53868457077815
after-late_2-late_2_inspect	29	30	1015.94140625	444.376953125	571.564453125	56.259588359011225
after-late_3-late_3_inspect	30	29	1016.234375	444.146484375	572.087890625	56.29487692000185
after-late_1-late_1_inspect	31	32	1016.3515625	447.505859375	568.845703125	55.96938344107677
after-backbone-backbone_finish	32	31	1017.4609375	447.173828125	570.287109375	56.050024954889246
after-late_2-late_2_finish	33	34	1026.3046875	452.326171875	573.978515625	55.92671675534952
after-late_3-late_3_finish	34	33	1035.015625	449.7783203125	585.2373046875	56.54381349919234
after-late_1-late_1_finish	35	35	1035.25	452.4970703125	582.7529296875	56.29103401956049
terminal-retained	36	36	1035.28125	452.6884765625	582.5927734375	56.273865042711826
