milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	72.6953125	80.39453125	-7.69921875	-10.591080064481462
after-backbone-trace_cpp_parser	2	2	142.796875	198.29296875	-55.49609375	-38.863661232082286
after-backbone-core_patch	3	3	171.1484375	93.546875	77.6015625	45.34167161181358
after-backbone-core_verify	4	4	173.3828125	95.5546875	77.828125	44.888027756499795
after-backbone-backbone_finish	5	5	221.53125	123.2607421875	98.2705078125	44.35965933135844
after-late_1-late_1_inspect	6	6	261.47265625	128.6748046875	132.7978515625	50.78842792476508
after-late_1-late_1_finish	7	7	299.42578125	133.0537109375	166.3720703125	55.56370918294131
after-late_2-late_2_inspect	8	8	308.265625	138.3193359375	169.9462890625	55.1298215824421
after-late_2-late_2_finish	9	9	309.56640625	139.3349609375	170.2314453125	54.99028378906989
after-late_3-late_3_inspect	10	10	312.453125	144.5576171875	167.8955078125	53.73462269340401
after-late_3-late_3_finish	11	11	323.26171875	148.1689453125	175.0927734375	54.164400942541235
after-early_1-early_1_inspect	12	12	338.6875	151.1484375	187.5390625	55.37230116257612
after-early_1-early_1_finish	13	13	357.2734375	154.697265625	202.576171875	56.70059696923312
after-early_2-early_2_inspect	14	14	359.09765625	157.2802734375	201.8173828125	56.201253141011
after-early_2-early_2_finish	15	15	362.87109375	160.6376953125	202.2333984375	55.73147101566285
after-early_3-early_3_inspect	16	16	363.375	163.3203125	200.0546875	55.05460956312349
after-early_3-early_3_finish	17	17	364.6015625	166.5068359375	198.0947265625	54.33183697957959
terminal-retained	18	18	364.64453125	167.1513671875	197.4931640625	54.16046235096251
