milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	247.32421875	262.6953125	-15.37109375	-6.214956961225618
after-backbone-trace_index_state	2	2	291.99609375	359.05859375	-67.0625	-22.966916830544072
after-backbone-core_patch	3	3	349.73046875	311.2578125	38.47265625	11.000658989623705
after-backbone-core_verify	4	4	368.0234375	331.18359375	36.83984375	10.01018956842932
after-backbone-backbone_finish	5	5	368.3671875	310.64453125	57.72265625	15.669869143814552
after-early_2-early_2_inspect	6	6	885.71484375	393.4287109375	492.2861328125	55.580657396259205
after-early_3-early_3_inspect	7	7	894.88671875	398.515625	496.37109375	55.46747798909604
after-early_1-early_1_inspect	8	8	898.5078125	423.337890625	475.169921875	52.88433948647497
after-late_1-late_1_inspect	9	9	902.953125	427.658203125	475.294921875	52.637828998598344
after-late_2-late_2_inspect	10	10	950.8359375	431.0146484375	519.8212890625	54.66992449078525
after-late_3-late_3_inspect	11	11	977.54296875	438.41796875	539.125	55.151028367519004
after-early_3-early_3_finish	12	13	1059.67578125	440.484375	619.19140625	58.43215606188509
after-late_2-late_2_finish	13	16	1116.6015625	441.75390625	674.84765625	60.43764211999301
after-early_2-early_2_finish	14	12	1123.56640625	439.80078125	683.765625	60.8567167188744
after-late_3-late_3_finish	15	17	1123.953125	442.3671875	681.5859375	60.641847274547146
after-late_1-late_1_finish	16	15	1126.1875	441.12109375	685.06640625	60.830581608302346
after-early_1-early_1_finish	17	14	1126.26953125	440.84375	685.42578125	60.8580594814879
terminal-retained	18	18	1126.58203125	442.61328125	683.96875	60.711846188519615
