milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-late_3-read_repo	1	5	1731.3515625	520.4697265625	1210.8818359375	69.93853023062726
after-early_1-read_repo	2	6	1732.234375	545.9736328125	1186.2607421875	68.48153802440851
after-early_3-read_repo	3	2	1776.19140625	440.4912109375	1335.7001953125	75.20023971585972
after-late_2-read_repo	4	3	1820.12890625	466.1591796875	1353.9697265625	74.38867224805935
after-early_2-read_repo	5	7	1863.35546875	572.9521484375	1290.4033203125	69.2515916556783
after-late_1-read_repo	6	4	1900.6171875	470.4345703125	1430.1826171875	75.24832599607858
after-backbone-read_repo	7	1	1942.19140625	344.2255859375	1597.9658203125	82.27643347459076
after-late_3-trace_index_state	8	12	1984.41015625	668.974609375	1315.435546875	66.28849095193196
after-early_1-trace_index_state	9	13	2033.0625	674.443359375	1358.619140625	66.82623582034492
after-early_3-trace_index_state	10	9	2044.4453125	655.1416015625	1389.3037109375	67.95504396440049
after-late_2-trace_index_state	11	10	2047.3828125	663.3291015625	1384.0537109375	67.60111995115714
after-early_2-trace_index_state	12	14	2089.09765625	680.8056640625	1408.2919921875	67.4114964407854
after-late_1-trace_index_state	13	11	2101.96875	664.0048828125	1437.9638671875	68.41033517684313
after-backbone-trace_index_state	14	8	2104.75	599.2822265625	1505.4677734375	71.52715398206438
after-early_1-early_1_inspect	15	20	2149.90625	706.998046875	1442.908203125	67.11493597104526
after-early_3-early_3_inspect	16	16	2172.3125	682.0009765625	1490.3115234375	68.6048403918635
after-early_2-early_2_inspect	17	21	2211.49609375	708.2041015625	1503.2919921875	67.97624451772786
after-late_3-core_patch	18	19	2280.94921875	706.232421875	1574.716796875	69.03778409139562
after-late_2-core_patch	19	17	2290.1640625	701.2724609375	1588.8916015625	69.37894221552085
after-late_1-core_patch	20	18	2368.16015625	705.0341796875	1663.1259765625	70.22861068636814
after-backbone-core_patch	21	15	2440.59375	681.3837890625	1759.2099609375	72.08122863288902
after-early_3-early_3_finish	22	23	2457.3984375	717.1455078125	1740.2529296875	70.81688110202927
after-early_1-early_1_finish	23	27	2512.7890625	724.3017578125	1788.4873046875	71.17538560551179
after-early_2-early_2_finish	24	28	2530.48828125	726.1923828125	1804.2958984375	71.30228232261251
after-late_3-core_verify	25	26	2547.87109375	723.94140625	1823.9296875	71.58641942185189
after-late_2-core_verify	26	24	2551.16796875	719.28515625	1831.8828125	71.80565274177422
after-late_1-core_verify	27	25	2552.33203125	721.41015625	1830.921875	71.73525437062
after-backbone-core_verify	28	22	2553.1484375	712.2392578125	1840.9091796875	72.10349201200724
after-late_3-late_3_inspect	29	32	2553.29296875	728.6220703125	1824.6708984375	71.46343646302338
after-late_1-late_1_inspect	30	31	2553.4453125	726.7236328125	1826.7216796875	71.53948709005297
after-late_2-late_2_inspect	31	30	2553.52734375	726.5556640625	1826.9716796875	71.54697928570009
after-backbone-backbone_finish	32	29	2554.12890625	726.3876953125	1827.7412109375	71.56025705926525
after-late_3-late_3_finish	33	35	2554.1953125	729.5478515625	1824.6474609375	71.43727231852009
after-late_2-late_2_finish	34	33	2554.296875	729.1376953125	1825.1591796875	71.45446551460468
after-late_1-late_1_finish	35	34	2554.37890625	729.3720703125	1825.0068359375	71.44620680479751
terminal-retained	36	36	2554.4453125	731.48046875	1822.96484375	71.36441069336848
