milestone	agentenv_sequence	trenvx_sequence	agentenv_file_physical_mib	trenvx_file_physical_mib	estimated_optimization_mib	estimated_optimization_pct
after-backbone-read_repo	1	1	247.37890625	262.671875	-15.29296875	-6.182001926447599
after-backbone-trace_index_state	2	2	292.05078125	359.05859375	-67.0078125	-22.943890858021803
after-backbone-core_patch	3	3	403.046875	315.67578125	87.37109375	21.677650707501453
after-backbone-core_verify	4	4	426.7265625	335.7763671875	90.9501953125	21.313460024532688
after-backbone-backbone_finish	5	5	466.06640625	330.68359375	135.3828125	29.047966273582933
after-late_1-late_1_inspect	6	6	647.4609375	341.8115234375	305.6494140625	47.20739064856712
after-late_1-late_1_finish	7	7	691.375	345.7841796875	345.5908203125	49.98601631712168
after-late_2-late_2_inspect	8	8	725.46875	358.3251953125	367.1435546875	50.60776976093043
after-late_2-late_2_finish	9	9	726.9453125	359.923828125	367.021484375	50.4881836451762
after-late_3-late_3_inspect	10	10	737.1953125	372.6357421875	364.5595703125	49.45223662318119
after-late_3-late_3_finish	11	11	739.07421875	373.83203125	365.2421875	49.41887813618177
after-early_1-early_1_inspect	12	12	901.87890625	385.19921875	516.6796875	57.289252905176255
after-early_1-early_1_finish	13	13	984.98828125	411.296875	573.69140625	58.24347529515342
after-early_2-early_2_inspect	14	14	1007.51171875	420.1240234375	587.3876953125	58.300830092702085
after-early_2-early_2_finish	15	15	1083.109375	426.2109375	656.8984375	60.649316926095295
after-early_3-early_3_inspect	16	16	1089.7109375	436.1376953125	653.5732421875	59.976753439487254
after-early_3-early_3_finish	17	17	1144.84765625	440.576171875	704.271484375	61.51661144871213
terminal-retained	18	18	1144.8984375	440.841796875	704.056640625	61.495117607320516
